algo,serie,taille,temps
quickRandomSeuil,testset1,10000,0.4549
quickRandomSeuil,testset1,10000,0.4947
quickRandomSeuil,testset1,10000,0.6194
quickRandomSeuil,testset1,10000,0.4848
quickRandomSeuil,testset1,10000,0.5112
quickRandomSeuil,testset1,10000,0.828
quickRandomSeuil,testset1,10000,0.4876
quickRandomSeuil,testset1,10000,0.4942
quickRandomSeuil,testset1,10000,0.4842
quickRandomSeuil,testset1,10000,0.4876
quickRandomSeuil,testset1,10000,0.4845
quickRandomSeuil,testset1,10000,0.5189
quickRandomSeuil,testset1,10000,0.4766
quickRandomSeuil,testset1,10000,0.4777
quickRandomSeuil,testset1,10000,0.4818
quickRandomSeuil,testset1,10000,0.459
quickRandomSeuil,testset1,10000,0.4962
quickRandomSeuil,testset1,10000,0.6523
quickRandomSeuil,testset1,10000,0.4728
quickRandomSeuil,testset1,10000,0.4934
quickRandomSeuil,testset1,10000,0.4734
quickRandomSeuil,testset1,10000,0.491
quickRandomSeuil,testset1,10000,0.4581
quickRandomSeuil,testset1,10000,0.478
quickRandomSeuil,testset1,10000,0.4986
